"","Military.School","City","State","location","lon","lat"
"1","Abingdon","Abingdon","VA","Abingdon VA",-81.9773482,36.7098335
"2","Alabama Military and Scientific Institute","Eufaula","AL","Eufaula AL",-85.1454876,31.8912717
"3","Alachua Military Institute","Newnansville","FL","Newnansville FL",-82.4767791,29.8085756
"4","Albemarle Military Institute","Charlottesville","VA","Charlottesville VA",-78.4766781,38.0293059
"5","Alexander Institute","Tulip","AR","Tulip AR",-91.7210798,35.2540173
"6","American Classical and Miltary Lyceum","Mount Airy","PA","Mount Airy PA",-75.9396432,41.5839653
"7","American Literary, Scientific and Military Academy","Norwich","VT","Norwich VT",-72.307869,43.7153482
"8","Arkansas Military Institute","Tulip","AR","Tulip AR",-91.7210798,35.2540173
"9","Bastrop Military Institute","Bastrop","TX","Bastrop TX",-97.3152701,30.1104947
"10","Betts Military Academy","Samford","CT","Samford CT",-73.5387341,41.0534302
"11","Bingham's Military School","Oxford/Fayette","NC","Oxford/Fayette NC",-78.629373,35.7943869
"12","Bowden Collegiate and Military Institute","Carroll Co.","GA","Carroll Co. GA",-85.0649071,33.5642239
"13","Brandon State Military Institute","","MS"," MS",-89.3985283,32.3546679
"14","Caldwell Institute","","NC"," NC",-79.0192997,35.7595731
"15","Central Masonic Institute","Selma","AL","Selma AL",-87.0211007,32.4073589
"16","Collegiate and Miltary School","Boston","MA","Boston MA",-71.0588801,42.3600825
"17","Columbus Military Academy","Columbus","MS","Columbus MS",-88.4272627,33.4956744
"18","Culpeper Military Academy","Culpeper","VA","Culpeper VA",-77.9962512,38.4729632
"19","Danville Military Institute","Danville","VA","Danville VA",-79.3950228,36.5859718
"20","Delaware Military Academy","Wilmington","DE","Wilmington DE",-75.5397878,39.7390721
"21","Eagleswood Military Academy","Perth Amboy","NJ","Perth Amboy NJ",-74.2654234,40.5067723
"22","Episcopal High School","Alexandria","VA","Alexandria VA",-77.0469214,38.8048355
"23","Erskine College","Erskine","SC","Erskine SC",-82.5338,34.4025793
"24","Fleetwood Academy","Walkerton","VA","Walkerton VA",-77.023091,37.7261053
"25","Florida Collegiate and Military Institute","Tallahassee","FL","Tallahassee FL",-84.2807329,30.4382559
"26","Florida Seminary","","FL"," FL",-81.5157535,27.6648274
"27","Franklin Military School","Duplin","NC","Duplin NC",-78.0195387,34.8840095
"28","Front Royal Academy","Front Royal","VA","Front Royal VA",-78.1944446,38.9181671
"29","Georgia Military Institute","Marietta","GA","Marietta GA",-84.5499327,33.952602
"30","Gibson F. Hill's Military Academy","","AL"," AL",-86.902298,32.3182314
"31","Glenville Male Collegiate and Military Institute","Glenville","AL","Glenville AL",-85.176944,32.128611
"32","Hampton Military Academy","Hampton","VA","Hampton VA",-76.3452218,37.0298687
"33","Henderson Military and Female Institute","Henderson","NC","Henderson NC",-78.3991638,36.3295905
"34","Hillsboro Military Academy","Hillsboro","NC","Hillsboro NC",-79.0997347,36.0754183
"35","Jefferson College","Washington","MS","Washington MS",-91.2992784,31.5787773
"36","Jones Military School","Wilmington","NC","Wilmington NC",-77.9447102,34.2257255
"37","Kemper Military Junior College","Boonville","MO","Boonville MO",-92.7432418,38.9736392
"38","Kentucky Military Institute","Drennon Springs","KY","Drennon Springs KY",-85.0538411,38.5078437
"39","Kings Mountain Military Academy","Yorkville","SC","Yorkville SC",-81.7077488,33.571429
"40","La Grange Military Academy","La Grange","AL","La Grange AL",-85.0322444,33.0362218
"41","Lenoir Count Military School","Smithfield","NC","Smithfield NC",-78.3394455,35.5084935
"42","Louisiana State Seminary and Military Academy","Alexandria","LA","Alexandria LA",-92.4451371,31.3112936
"43","Mantua Classical and Military Academy","Philadelphia","PA","Philadelphia PA",-75.1652215,39.9525839
"44","Marion Military College","Marion","AL","Marion AL",-87.3191655,32.6323536
"45","Maryland Military Academy","Oxford","MD","Oxford MD",-76.1716108,38.6865072
"46","Metropolitan Academy and Gymnasium","New York","NY","New York NY",-74.0059413,40.7127837
"47","Military Academy at Middleburg","Middleburg","VA","Middleburg VA",-77.7355496,38.9687211
"48","Military and Scientific Institute","Baton Rouge","LA","Baton Rouge LA",-91.1403196,30.4582829
"49","Military School","Onancock","VA","Onancock VA",-75.7490966,37.7117971
"50","Military School at Lexington","Lexington","MO","Lexington MO",-93.8799426,39.1847339
"51","Mississippi Military Academy","","MS"," MS",-89.3985283,32.3546679
"52","Missouri Literary, Scientific and Military Academy","St. Louis","MO","St. Louis MO",-90.1994042,38.6270025
"53","National Scientific and Military College","Brandywine","DE","Brandywine DE",-75.5343681,39.8295563
"54","Norfolk Academy","Norfolk","VA","Norfolk VA",-76.2858726,36.8507689
"55","North Carloina Class, Math and Military Academy","Raleigh","NC","Raleigh NC",-78.6381787,35.7795897
"56","North Carolina Literary, Scientific and Military Academy","Raleigh","NC","Raleigh NC",-78.6381787,35.7795897
"57","North Carolina Military Acadmey","Raleigh","NC","Raleigh NC",-78.6381787,35.7795897
"58","North Carolina Military Institute","Charlotte","NC","Charlotte NC",-80.8431267,35.2270869
"59","Oak Hill Military Academy","Granville","NC","Granville NC",-78.6114999,36.2799451
"60","Pennsylvania Literary, Scientific and Military Collegiate Institute","Harrisburg","PA","Harrisburg PA",-76.8867008,40.2731911
"61","Pennsylvania Military Acadmey","Chester","PA","Chester PA",-75.3557457,39.849557
"62","Petersburg Military Academy","Petersburg","VA","Petersburg VA",-77.4019267,37.2279279
"63","Portsmougth Academy","Portsmouth","VA","Portsmouth VA",-76.2982742,36.8354258
"64","Quincy Military Academy","Quincy","FL","Quincy FL",-84.5832453,30.5871392
"65","Raleigh Military Academy","Raleigh","NC","Raleigh NC",-78.6381787,35.7795897
"66","Rappahannock Academy and Military Instititute","Rappahannock","VA","Rappahannock VA",-76.675922,37.7989119
"67","Rice Creek Spring Military Academy","Rice Creek Spring","SC","Rice Creek Spring SC",-81.1637245,33.836081
"68","Rumford Academy","King William Co.","VA","King William Co. VA",-77.1485163,37.7372121
"69","Shelby Mlitary Institute","Shelby Co. ","TN","Shelby Co.  TN",-89.9253233,35.1268552
"70","South Carolina Military Acadmey (the Arsenal)","Columbia","SC","Columbia SC",-81.0348144,34.0007104
"71","South Carolina Military Acadmey (the Citadel)","Charleston","SC","Charleston SC",-79.9310512,32.7764749
"72","Southern Military Academy","Wetumpka","AL","Wetumpka AL",-86.2119127,32.5437448
"73","Southern Polytechnic Institute","","AL"," AL",-86.902298,32.3182314
"74","St. Thomas's Hall","","MS"," MS",-89.3985283,32.3546679
"75","Sumterville Male Academy","Sumterville","AL","Sumterville AL",-88.2389168,32.7117999
"76","Texas Military Insitute","Bastrop","TX","Bastrop TX",-97.3152701,30.1104947
"77","Texas Military Insitute","Galveston","TX","Galveston TX",-94.7976958,29.3013479
"78","Texas Monumental and Military Institute","La Grance","TX","La Grance TX",-96.876647,29.9055033
"79","Tiskegee Classical and Scientific Institute","Tuskegee","AL","Tuskegee AL",-85.7077266,32.430237
"80","United States Military Academy at West Point","West Point","NY","West Point NY",-73.9559721,41.3914827
"81","United States Naval Academy at Annapolis","Annapolis","MD","Annapolis MD",-76.4921829,38.9784453
"82","Unity Scientific and Military Academy","Claremont","NH","Claremont NH",-72.346756,43.3767402
"83","Univeristy of Alabama","Tuscaloosa","AL","Tuscaloosa AL",-87.5691735,33.2098407
"84","Iniversity of Mississippi","Oxford","MS","Oxford MS",-89.5192484,34.3664951
"85","Virginia Leterary, Scientific and Military Academy","Portsmouth","VA","Portsmouth VA",-76.2982742,36.8354258
"86","Virginia Military Institute","Lexington","VA","Lexington VA",-79.4428157,37.7840208
"87","Wake Forest College","Winston-Salem","NC","Winston-Salem NC",-80.244216,36.0998596
"88","West Alabama Institute","Sumterville","AL","Sumterville AL",-88.2389168,32.7117999
"89","West Florida Seminary","Tallahassee","FL","Tallahassee FL",-84.2807329,30.4382559
"90","Western Military Institute","Georgetown","KY","Georgetown KY",-84.5588311,38.2097967
"91","Westover Military Academy","Lynchburg","VA","Lynchburg VA",-79.1422464,37.4137536
"92","Williamsburg Military School","Williamsburg","VA","Williamsburg VA",-76.7074571,37.2707022
"93","Wisewell's Yonkers Collegiate and Miltary Institute","Yonkers","NY","Yonkers NY",-73.8987469,40.9312099
